id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,marketCap_to_supply
theta,36,THETA,THETA,1000000000.0,1000000000.0,2560284227.407876,22867768.18491736,2.560284227407876,2.8409482957588272,2.5503780753272887,2.560284227407876
the-graph,37,GRT,The Graph,9548531509.165474,0.0,2352169396.944059,29276319.189111885,0.2463383395327597,2.078944352127358,0.2458703931708503,0.2463383395327597
fantom,38,FTM,Fantom,2803634835.5265927,3175000000.0,2163613375.332565,96799713.43889688,0.7717172535866941,-0.8909727290320233,0.7864165340748593,0.7717172535866941
mantra-dao,39,OM,MANTRA DAO,500205033.1781249,888888888.0,1956912941.457712,23313439.91451912,3.9122216124539615,-0.7920218530952743,3.988226194538646,3.9122216124539633
injective-protocol,40,INJ,Injective,73005554.33,100000000.0,1916776340.232859,54219543.19026897,26.25521246737801,1.4135185922298077,26.04787829691776,26.255212467378016
cosmos,41,ATOM,Cosmos,248453201.0,0.0,1896626235.13904,85324085.87114099,7.633736363650392,2.748797411828296,7.499642423094991,7.633736363650392
lido-dao,42,LDO,Lido DAO,896046961.4578881,0.0,1804308383.7703328,7217620.684504178,2.013631496316536,-1.413049230185575,2.0374136457388845,2.013631496316536
the-sandbox,43,SAND,The Sandbox,2445857126.2233224,0.0,1691931198.6950784,137706232.02287894,0.6917538970510554,2.5108893234609515,0.7009454451742307,0.6917538970510554
thorchain,44,RUNE,THORChain,341707305.0,0.0,1672015199.5112262,55032533.68638651,4.893121027983953,-0.721534082450409,4.933565694368908,4.893121027983953
raydium,45,RAY,Raydium,290888823.959345,0.0,1646959004.7159667,48531324.55179009,5.66181602407024,0.3021804625020991,5.5959144657557225,5.66181602407024
gatetoken,46,GT,GateToken,88715500.2868921,0.0,1640391891.4790344,16513255.315321635,18.490476705584285,1.538316103450738,18.36083847865564,18.490476705584285
gala,47,GALA,Gala,36710017113.39063,0.0,1578495151.5398357,95016801.23349646,0.0429990306641413,2.3256040936096856,0.0428056039479833,0.0429990306641413
tezos,48,XTZ,Tezos,1023128494.516994,0.0,1484128343.0817218,24802328.65061973,1.4505786428931,-0.5648814241029679,1.4555134047698608,1.4505786428931
maker,49,MKR,Maker,892683.28023336,1005577.0,1446602414.3256474,31218050.91312556,1620.5102597502275,2.4064617983948686,1613.7316381959602,1620.5102597502275
